benchmark,distribution,condition_axis,condition,model_key,model_label,method,metric,value,standard_error,higher_is_better,unit,source_path
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ActAdd,true_times_informative,9.48,0.52,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ActAdd,instruction_relevance,0.05,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ActAdd,fluency,0.24,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Mean-AcT,true,69.65,1.32,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Mean-AcT,informative,12.97,1.64,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Mean-AcT,true_times_informative,9.04,1.22,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Mean-AcT,instruction_relevance,0.02,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Mean-AcT,fluency,0.07,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Linear-AcT,true,61.93,0.84,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Linear-AcT,informative,14.44,1.18,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Linear-AcT,true_times_informative,8.95,0.74,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Linear-AcT,instruction_relevance,0.1,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Linear-AcT,fluency,0.26,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,PID-AcT,true,65.85,3.25,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,PID-AcT,informative,13.95,0.76,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,PID-AcT,true_times_informative,9.19,0.65,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,PID-AcT,instruction_relevance,0.07,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,PID-AcT,fluency,0.21,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ODESteer,true,73.93,1.61,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ODESteer,informative,12.48,1.01,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ODESteer,true_times_informative,9.23,0.81,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ODESteer,instruction_relevance,0.07,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ODESteer,fluency,0.13,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,S-PID,true,67.2,1.7,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,S-PID,informative,10.89,1.39,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,S-PID,true_times_informative,7.32,1.0,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,S-PID,instruction_relevance,0.02,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,S-PID,fluency,0.07,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,A-LQR,true,74.3,0.93,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,A-LQR,informative,8.69,0.8,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,A-LQR,true_times_informative,6.46,0.58,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,A-LQR,instruction_relevance,0.06,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,A-LQR,fluency,0.11,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,H∞ (ours),true,84.21,1.55,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,H∞ (ours),informative,21.54,1.68,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,H∞ (ours),true_times_informative,18.14,1.31,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,H∞ (ours),instruction_relevance,0.04,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,H∞ (ours),fluency,0.06,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Original,true,42.86,0.49,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Original,informative,94.52,0.24,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Original,true_times_informative,40.51,0.47,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Original,instruction_relevance,1.59,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Original,fluency,1.39,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ITI,true,55.47,0.88,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ITI,informative,94.37,0.2,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ITI,true_times_informative,52.35,0.84,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ITI,instruction_relevance,1.61,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ITI,fluency,1.39,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ActAdd,true,43.94,0.53,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ActAdd,informative,93.78,0.29,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ActAdd,true_times_informative,41.21,0.51,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ActAdd,instruction_relevance,1.57,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ActAdd,fluency,1.35,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Mean-AcT,true,46.61,0.69,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Mean-AcT,informative,94.83,0.49,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Mean-AcT,true_times_informative,44.2,0.69,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Mean-AcT,instruction_relevance,1.61,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Mean-AcT,fluency,1.41,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Linear-AcT,true,47.15,0.41,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Linear-AcT,informative,94.96,0.39,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Linear-AcT,true_times_informative,44.77,0.43,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Linear-AcT,instruction_relevance,1.61,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,Linear-AcT,fluency,1.42,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,PID-AcT,true,47.12,0.63,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,PID-AcT,informative,95.08,0.51,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,PID-AcT,true_times_informative,44.8,0.64,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,PID-AcT,instruction_relevance,1.62,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,PID-AcT,fluency,1.41,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ODESteer,true,95.67,0.15,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ODESteer,informative,11.21,0.45,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ODESteer,true_times_informative,10.73,0.43,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ODESteer,instruction_relevance,0.0,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,ODESteer,fluency,0.02,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,S-PID,true,52.09,0.56,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,S-PID,informative,94.37,0.22,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,S-PID,true_times_informative,49.16,0.54,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,S-PID,instruction_relevance,1.59,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,S-PID,fluency,1.33,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,A-LQR,true,55.57,0.71,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,A-LQR,informative,95.03,0.25,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,A-LQR,true_times_informative,52.81,0.69,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,A-LQR,instruction_relevance,1.56,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,A-LQR,fluency,1.27,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,H∞ (ours),true,68.54,0.95,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,H∞ (ours),informative,80.66,0.81,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,H∞ (ours),true_times_informative,55.29,0.35,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,H∞ (ours),instruction_relevance,1.24,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,H∞ (ours),fluency,1.05,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Original,true,68.13,0.28,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Original,informative,97.31,0.13,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Original,true_times_informative,66.29,0.28,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Original,instruction_relevance,1.82,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Original,fluency,1.51,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ITI,true,67.91,0.33,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ITI,informative,97.36,0.07,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ITI,true_times_informative,66.11,0.33,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ITI,instruction_relevance,1.82,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ITI,fluency,1.53,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ActAdd,true,72.09,0.9,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ActAdd,informative,89.62,1.54,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ActAdd,true_times_informative,64.61,1.37,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ActAdd,instruction_relevance,1.63,0.04,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ActAdd,fluency,1.37,0.04,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Mean-AcT,true,68.27,0.26,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Mean-AcT,informative,97.48,0.08,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Mean-AcT,true_times_informative,66.55,0.26,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Mean-AcT,instruction_relevance,1.82,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Mean-AcT,fluency,1.55,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Linear-AcT,true,68.25,0.21,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Linear-AcT,informative,97.55,0.19,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Linear-AcT,true_times_informative,66.58,0.24,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Linear-AcT,instruction_relevance,1.83,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,Linear-AcT,fluency,1.55,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,PID-AcT,true,68.27,0.22,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,PID-AcT,informative,97.28,0.2,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,PID-AcT,true_times_informative,66.42,0.25,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,PID-AcT,instruction_relevance,1.82,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,PID-AcT,fluency,1.55,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ODESteer,true,74.88,0.46,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ODESteer,informative,92.83,0.26,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ODESteer,true_times_informative,69.51,0.47,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ODESteer,instruction_relevance,1.67,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,ODESteer,fluency,1.44,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,S-PID,true,82.82,0.28,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,S-PID,informative,93.56,0.47,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,S-PID,true_times_informative,77.48,0.47,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,S-PID,instruction_relevance,1.64,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,S-PID,fluency,1.43,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,A-LQR,true,85.24,0.5,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,A-LQR,informative,94.32,0.27,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,A-LQR,true_times_informative,80.4,0.52,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,A-LQR,instruction_relevance,1.64,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,A-LQR,fluency,1.41,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,H∞ (ours),true,88.74,0.28,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,H∞ (ours),informative,93.05,0.48,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,H∞ (ours),true_times_informative,82.57,0.5,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,H∞ (ours),instruction_relevance,1.53,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,H∞ (ours),fluency,1.29,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,Original,true,62.55,2.0,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,Original,informative,97.55,0.61,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,Original,true_times_informative,61.01,1.81,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,Original,instruction_relevance,1.76,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,Original,fluency,1.55,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,A-LQR,true,90.45,1.22,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,A-LQR,informative,91.43,1.14,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,A-LQR,true_times_informative,82.7,1.14,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,A-LQR,instruction_relevance,1.41,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,A-LQR,fluency,1.02,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,H∞ (ours),true,95.59,0.71,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,H∞ (ours),informative,95.72,0.61,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,H∞ (ours),true_times_informative,91.5,1.07,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,H∞ (ours),instruction_relevance,1.53,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,H∞ (ours),fluency,1.08,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,Original,attack_success_rate,10.0,2.08,false,percent,figs/bench_table/harmful/harmbench_full.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,Original,safe_concept_relevance,1.91,0.04,true,score_0_2,figs/bench_table/harmful/harmbench_full.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,Original,instruction_relevance,1.73,0.05,true,score_0_2,figs/bench_table/harmful/harmbench_full.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,Original,fluency,1.85,0.02,true,score_0_2,figs/bench_table/harmful/harmbench_full.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,Original,overall_steering,1.62,0.06,true,score_0_2,figs/bench_table/harmful/harmbench_full.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,A-LQR,attack_success_rate,9.58,1.76,false,percent,figs/bench_table/harmful/harmbench_full.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,A-LQR,safe_concept_relevance,1.95,0.03,true,score_0_2,figs/bench_table/harmful/harmbench_full.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,A-LQR,instruction_relevance,1.51,0.06,true,score_0_2,figs/bench_table/harmful/harmbench_full.md
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,A-LQR,fluency,1.89,0.02,true,score_0_2,figs/bench_table/harmful/harmbench_full.md
